title,url,source
"  Putting the AI genie back in the bottle not an option, Meta’s Nick Clegg says  ",https://www.theguardian.com/technology/2023/jul/22/putting-the-ai-genie-back-in-the-bottle-not-an-option-metas-nick-clegg-says,theguardian
"Putting the AI genie back in the bottle not an option, Meta’s Nick Clegg says",https://www.theguardian.com/technology/2023/jul/22/putting-the-ai-genie-back-in-the-bottle-not-an-option-metas-nick-clegg-says,theguardian
"
                
                 The networker
                  
                  
                    Caw-blimey, GPT-4 may be just an AI language parrot, but it’s no birdbrain   ",https://www.theguardian.com/commentisfree/2023/jul/22/caw-blimey-gpt-4-may-be-just-an-ai-language-parrot-but-its-no-birdbrain,theguardian
"Caw-blimey, GPT-4 may be just an AI language parrot, but it’s no birdbrain ",https://www.theguardian.com/commentisfree/2023/jul/22/caw-blimey-gpt-4-may-be-just-an-ai-language-parrot-but-its-no-birdbrain,theguardian
  ‘Bargaining for our very existence’: why the battle over AI is being fought in Hollywood  ,https://www.theguardian.com/technology/2023/jul/22/sag-aftra-wga-strike-artificial-intelligence,theguardian
‘Bargaining for our very existence’: why the battle over AI is being fought in Hollywood,https://www.theguardian.com/technology/2023/jul/22/sag-aftra-wga-strike-artificial-intelligence,theguardian
  Uncharted territory: do AI girlfriend apps promote unhealthy expectations for human relationships?  ,https://www.theguardian.com/technology/2023/jul/22/ai-girlfriend-chatbot-apps-unhealthy-chatgpt,theguardian
Uncharted territory: do AI girlfriend apps promote unhealthy expectations for human relationships?,https://www.theguardian.com/technology/2023/jul/22/ai-girlfriend-chatbot-apps-unhealthy-chatgpt,theguardian
  Top tech firms commit to AI safeguards amid fears over pace of change  ,https://www.theguardian.com/technology/2023/jul/21/ai-ethics-guidelines-google-meta-amazon,theguardian
Top tech firms commit to AI safeguards amid fears over pace of change,https://www.theguardian.com/technology/2023/jul/21/ai-ethics-guidelines-google-meta-amazon,theguardian
  Oppenheimer biographer supports US bill to bar use of AI in nuclear launches  ,https://www.theguardian.com/books/2023/jul/21/ai-nuclear-weapons-kai-bird-oppenheimer-author,theguardian
Oppenheimer biographer supports US bill to bar use of AI in nuclear launches,https://www.theguardian.com/books/2023/jul/21/ai-nuclear-weapons-kai-bird-oppenheimer-author,theguardian
  Christopher Nolan: ‘Very strong parallels’ between Oppenheimer and scientists worried about AI  ,https://www.theguardian.com/technology/2023/jul/21/christopher-nolan-says-ai-experts-face-their-oppenheimer-moment,theguardian
Christopher Nolan: ‘Very strong parallels’ between Oppenheimer and scientists worried about AI,https://www.theguardian.com/technology/2023/jul/21/christopher-nolan-says-ai-experts-face-their-oppenheimer-moment,theguardian
"  Australian DishBrain team wins $600,000 grant to merge AI with human brain cells  ",https://www.theguardian.com/technology/2023/jul/21/australian-dishbrain-team-wins-600000-grant-to-develop-ai-that-can-learn-throughout-its-lifetime,theguardian
"Australian DishBrain team wins $600,000 grant to merge AI with human brain cells",https://www.theguardian.com/technology/2023/jul/21/australian-dishbrain-team-wins-600000-grant-to-develop-ai-that-can-learn-throughout-its-lifetime,theguardian
"
                
                 Living with AI
                  
                  
                    Meaty, chewy, sticky: how AI’s listening kitchen can redefine the art of cooking  ",https://www.theguardian.com/commentisfree/2023/jul/21/ai-listening-kitchen-cooking-recipes-computing,theguardian
"Meaty, chewy, sticky: how AI’s listening kitchen can redefine the art of cooking",https://www.theguardian.com/commentisfree/2023/jul/21/ai-listening-kitchen-cooking-recipes-computing,theguardian
  AI tool creates South Park episodes with user in starring role  ,https://www.theguardian.com/technology/2023/jul/20/ai-tool-creates-south-park-episodes-with-user-in-starring-role,theguardian
AI tool creates South Park episodes with user in starring role,https://www.theguardian.com/technology/2023/jul/20/ai-tool-creates-south-park-episodes-with-user-in-starring-role,theguardian
  Llama 2: why is Meta releasing open-source AI model and are there any risks?  ,https://www.theguardian.com/technology/2023/jul/19/why-is-meta-releasing-llama-2-open-source-ai-model-mark-zuckerberg,theguardian
Llama 2: why is Meta releasing open-source AI model and are there any risks?,https://www.theguardian.com/technology/2023/jul/19/why-is-meta-releasing-llama-2-open-source-ai-model-mark-zuckerberg,theguardian
"
                
                 AI and the US election
                  ‘An evolution in propaganda’: a digital expert on AI influence in elections  ",https://www.theguardian.com/us-news/2023/jul/20/artificial-intelligence-us-elections,theguardian
‘An evolution in propaganda’: a digital expert on AI influence in elections,https://www.theguardian.com/us-news/2023/jul/20/artificial-intelligence-us-elections,theguardian
  Google testing AI tool that writes news articles   ,https://www.theguardian.com/technology/2023/jul/20/google-testing-ai-tool-that-writes-news-articles,theguardian
Google testing AI tool that writes news articles ,https://www.theguardian.com/technology/2023/jul/20/google-testing-ai-tool-that-writes-news-articles,theguardian
  Authors call for AI companies to stop using their work without consent  ,https://www.theguardian.com/books/2023/jul/20/authors-call-for-ai-companies-to-stop-using-their-work-without-consent,theguardian
Authors call for AI companies to stop using their work without consent,https://www.theguardian.com/books/2023/jul/20/authors-call-for-ai-companies-to-stop-using-their-work-without-consent,theguardian
  ‘Maximally curious’ AI could have disastrous consequences  ,https://www.theguardian.com/technology/2023/jul/19/maximally-curious-ai-could-have-disastrous-consequences,theguardian
‘Maximally curious’ AI could have disastrous consequences,https://www.theguardian.com/technology/2023/jul/19/maximally-curious-ai-could-have-disastrous-consequences,theguardian
  Nick Clegg defends release of open-source AI model by Meta  ,https://www.theguardian.com/technology/2023/jul/19/nick-clegg-defends-release-open-source-ai-model-meta-facebook,theguardian
Nick Clegg defends release of open-source AI model by Meta,https://www.theguardian.com/technology/2023/jul/19/nick-clegg-defends-release-open-source-ai-model-meta-facebook,theguardian
NOT SO PRIVATE ChatGPT 'brain leap' lets bot remember you as AI sparks privacy fearsA CHATGPT update means the artificially intelligent chatbot will now be able to remember users and their interests.,/tech/23134066/chatgpt-update-remembers-you-ai-privacy-fears/,thesun
TECH PAUSE I’m a tech expert – AI risks creating indistinguishable deepfakes & super-hacks,/tech/23133373/ai-risks-warning-deepfakes-misinformation-privacy-hacks-crime/,thesun
SNAP OUT OF IT How do you confuse My AI on Snapchat? 5 fun tricks to try,/tech/23118480/my-ai-snapchat-confuse/,thesun
AI TAKEOVER I was replaced by AI – ChatGPT made my job obsolete and others are at risk,/tech/23124129/ai-chatgpt-takes-human-job/,thesun
AI YOU CONFUSED? How do you get Snapchat’s My AI on Android and iPhone?,/tech/23117651/snapchat-my-ai-android-iphone/,thesun
"DUMB IT DOWN ChatGPT is 'getting dumber' as AI continues to learn from humans, experts warn",/tech/23108751/chatgpt-getting-dumber-openai/,thesun
AI MELTDOWN Is Open AI down? Hundreds of users report issues opening ChatGPT,/tech/21770605/is-open-ai-down/,thesun
AI CAN'T BELIEVE IT Listen as Johnny Cash 'sings Aqua hit Barbie Girl' thanks to AI tech,/tech/23100174/barbie-girl-johnny-cash-ai-country-singer-tech/,thesun
FORD MARCH AI shows how Stamford Bridge may look after redevelopment & Chelsea fans love it,/sport/23085310/chelsea-stamford-bridge-redeveloped-photos-ai/,thesun
AI AM AFRAID! I’m a security expert – we’re all in danger over three eerie AI threats,/tech/23074388/ai-threat-risk-warning-danger-scams-phishing-deepfakes/,thesun
THE SUN ON SUNDAY SAYS Revolutionary AI tech won't strike... and it may well save the NHS,/news/23070154/ai-save-strike-hit-nhs/,thesun
ROBODOCS Inside the hi-tech hospital where robots perform ward rounds & AI detects cancer,/health/23069026/hospital-robots-ai-detects-cancer-perform-surgery-vr/,thesun
FAKE VIEWS! I’m an expert – AI risks 'deepfake epidemic' that's almost impossible to detect,/tech/23063552/deepfake-ai-warning-cybercrime-dangerous/,thesun
"
													AI could help 'normalize' child sexual abuse as graphic images erupt online: experts												",https://nypost.com/2023/07/21/ai-could-normalize-child-sex-abuse-as-graphic-images-erupt-online-experts/,nyp
"
													Biden declares 'I am the AI' while pushing rules for artificial intelligence												",https://nypost.com/2023/07/21/joe-biden-declares-i-am-the-ai-while-pushing-rules-for-artificial-intelligence/,nyp
